phrase_id,lang,text
22,en,骰子，一個4面骰和一個6面骰，顯示在三個區域上方，它們顯示的數位始終反映最近一次的投擲結果。玩家將投骰子來移動、攻擊和使用某些卡牌，所以請查看骰子以瞭解結果！
23,en,當玩家抽取卡牌時（在地獄之門、墓地、教堂和隱士小屋執行的地點行動），卡牌將出現在版面左下方（隱士卡只會顯示給給予者和接收者）。黑卡、白卡和隱士卡用它們的顏色標識，卡牌的名稱和描述與圖片一起顯示。點擊卡牌將關閉它 - 除非被點擊，否則它不會消失，因此玩家可以按自己的節奏閱讀。
24,en,在遊戲版面的右上角有一個小按鈕，可以打開摘要視窗，總結遊戲中所有玩家的當前狀態，包括他們的位置、如果他們已經揭示身份則顯示其角色資訊，以及所有裝備。再次點擊按鈕將關閉摘要視窗。
25,en,等待室的聊天框在遊戲開始後仍然保留。除了讓您與其他玩家交談外，聊天框還會顯示遊戲中發生的事情和其他玩家採取的行動的資訊。聊天框中的玩家名稱用相應玩家的顏色高亮顯示，其他遊戲元素，如地點或卡牌，也會高亮顯示。
26,en,在遊戲版面上方，有按鈕可以離開房間並返回主頁面，或在新標籤頁中打開此規則書以複習規則。如果您離開活躍的遊戲，您隨時可以通過從主頁面使用相同的用戶名重新加入同一房間來重新連接，接管替代您的CPU！
27,en,"遊戲流程

暗影獵人以一系列回合進行。在每個玩家的回合中，他們將投骰子移動、執行地點行動，並可能攻擊其他玩家。回合順序在遊戲開始時隨機確定，遊戲將按照該回合順序繼續，直到一個或多個玩家滿足其勝利條件，此時將宣佈獲勝者並結束遊戲！

在遊戲開始時，玩家只知道自己的角色身份 - 他們不知道誰可能是潛在的盟友，誰是威脅。在他們的回合中，玩家可以攻擊、治療、建立軍火庫，並發現其他人的陣營，這取決於骰子的點數和抽牌的運氣。一旦玩家識別出他們的朋友和敵人，他們就可以更有策略地追求他們的勝利條件！

每場遊戲都有點不同 - 地點卡牌被洗混，三副牌組也是如此。角色隨機分配給每個玩家，但每場遊戲根據總玩家數量包含固定數量的各陣營角色。這些數字如下：

    4人遊戲：2個獵人，2個暗影
    5人遊戲：2個獵人，2個暗影，1個中立
    6人遊戲：2個獵人，2個暗影，2個中立
    7人遊戲：2個獵人，2個暗影，3個中立
    8人遊戲：3個獵人，3個暗影，2個中立

可玩角色的列表在本頁底部提供。"
28,en,"回合動作
移動

在每個回合開始時，行動玩家必須通過投兩個骰子移動到版面上的一個地點。版面上會出現投骰子的提示，點擊時骰子將被投擲。

骰子的點數相加，玩家移動到具有相應數位的地點卡牌。如果骰子總和為7，玩家可以選擇移動到任何地點 - 沒有標有7的地點卡牌。

地點行動

一旦玩家移動到一個地點，他們可以選擇執行與該地點相關的獨特行動。每個地點的行動是：

    隱士小屋：抽一張隱士卡並給予另一個玩家。
    教堂：抽一張白卡並遵循指示。
    墓地：抽一張黑卡並遵循指示。
    地獄之門：從三副牌組中任選一張牌抽取。
    詭異森林：對任何玩家造成2點傷害或治療任何玩家1點傷害。
    遠古祭壇：從任何玩家那裡偷取一張裝備卡。

玩家移動到地點後，版面上會出現相應地點行動的提示。

攻擊其他玩家

在玩家完成地點行動後，他們可以攻擊同一區域內的玩家。遊戲版面上每對地點卡牌代表一個區域。

如果玩家選擇攻擊某人，他們投兩個骰子並造成等於骰子點數差的傷害。如果差值大於零，攻擊被視為成功 - 這與某些裝備卡和特殊能力有關。

一旦玩家攻擊或選擇不攻擊，他們的回合結束，下一個玩家開始。"
29,en,"卡牌

暗影獵人有三副牌組，它們在遊戲版面上沒有顯示：隱士牌組、黑色牌組和白色牌組。如果玩家移動到隱士小屋、墓地、教堂或地獄之門，就可以抽這些卡牌。

隱士卡

隱士卡是玩家發現彼此資訊的方式。當玩家抽到隱士卡時，他們閱讀卡牌上的指示，但不執行。然後他們選擇一個玩家給予隱士卡 - 被選中的玩家接收卡牌並遵循其上的指示。

指示通常採用這樣的形式：「我猜你是暗影。如果是，受到2點傷害！」通過這種方式，當被選中的玩家遵循指示時，使用隱士卡的玩家就能了解到關於他們的一些資訊！

如果指示不適用於被選中的玩家，則什麼都不會發生。

黑卡和白卡

黑卡和白卡有兩種不同類型：裝備和一次性。類型會在抽取卡牌時顯示。

一次性卡必須立即使用並丟棄。當抽到一次性卡時，玩家會收到提示使用該卡牌並採取任何相關行動，比如選擇要對哪個玩家使用卡牌或投骰子。

裝備卡在抽取時會加入到玩家的軍火庫中。只要該卡牌在玩家的軍火庫中，玩家就能從裝備卡的效果中獲益（裝備可能被其他玩家偷取）。裝備卡的效果在相關時會自動生效，玩家不需要手動啟動它們。它們也可以疊加 - 多個傷害加成會相加！

白卡通常是防禦性的，某些白卡只對獵人有用。另一方面，黑卡通常是進攻性的，其中一些只對暗影有利。

如果任何牌組用完了卡牌，棄牌堆會被洗混並成為該牌組的新抽牌堆。每個牌組有16張牌。"
30,en,"特殊能力

在遊戲的任何時候，任何玩家都可以點擊他們角色頭像下方的按鈕來向其他所有人揭示身份。從這一刻起，其他玩家可以通過點擊已揭示玩家的精靈圖像或打開遊戲摘要標籤來查看該玩家的角色資訊。

雖然保持身份隱藏通常是有用的，但一旦玩家揭示身份，他們就可以使用角色的特殊能力，而「揭示」按鈕將被「特殊」按鈕取代。暗影獵人中的每個角色都有一個獨特的特殊能力。

某些角色在使用特殊能力時有限制 - 點擊按鈕仍然會啟動它，但它只會在遊戲中下一個符合有效條件的時點生效。所有角色及其特殊能力的列表在本頁底部提供。"""
31,en,"死亡

當玩家從攻擊或卡牌受到傷害時，他們的彩色標記會在生命值條上移動以反映其當前傷害。

如果玩家的傷害達到或超過其角色的最大生命值（顯示在角色頭像旁的紅色圓圈中），他們將死亡。如果該玩家擁有任何裝備卡，殺死他的玩家可以選擇偷取一張，其餘的則被丟棄。

死亡的玩家將被跳過他們的回合，但如果他們的勝利條件得到滿足，他們仍然可以獲勝（例如，如果一個獵人死亡，但剩餘的獵人殺死了所有暗影，所有獵人都獲勝）。

離開遊戲的死亡玩家將不會被電腦玩家替代，也無法重新連接到遊戲。"""
32,en,"遊戲結束

一旦任何玩家滿足了其角色的勝利條件，遊戲立即結束，該玩家被宣布為獲勝者。即使玩家屬於不同陣營，如果他們同時滿足各自的勝利條件，也可能同時獲勝。

一個彈窗將顯示獲勝玩家的身份。遊戲結束後仍然可以使用聊天功能，但只有通過返回主頁面並加入新房間才能開始新遊戲。

我們真誠希望您享受暗影獵人！來自團隊的愛，

Amrit Rau, Gia Reyes, Vishal Patel, Max Levatich, 和 Joanna Wu"
33,en,"角色

以下提供所有可玩角色的列表，包括他們的名字、陣營、最大生命值、勝利條件和特殊能力："
34,en,名稱
35,en,陣營
36,en,最大生命值
37,en,獵人
38,en,暗影
39,en,中立
40,en,勝利條件：所有暗影都死亡。
41,en,特殊能力：每場遊戲一次，在你的回合開始時，你可以選擇一名玩家並永久廢除其特殊能力。
42,en,特殊能力：每場遊戲一次，在你的回合開始時，你可以選擇一名玩家並對其造成一個六面骰子點數的傷害。
43,en,特殊能力：每場遊戲一次，在你的回合開始時，你可以將任何玩家的傷害設為7點。
44,en,特殊能力：每場遊戲一次，在你的回合開始時，你可以選擇一名玩家並對其造成一個四面骰子點數的傷害。
45,en,勝利條件：所有獵人（或3名中立者）都死亡。
46,en,特殊能力：在你的回合開始時，你可以對一名在地獄之門的玩家造成3點傷害。
47,en,特殊能力：當你攻擊時，你只投擲四面骰並造成等同於骰子點數的傷害。
48,en,特殊能力：如果你攻擊一名玩家並造成傷害，你治療自己2點傷害。
49,en,特殊能力：在你被攻擊後，你可以立即反擊。
50,en,勝利條件：當遊戲結束時你沒有死亡。
51,en,特殊能力：每場遊戲一次，你可以完全治癒你的傷害。
52,en,勝利條件：你是第一個死亡的玩家或最後兩名存活玩家之一。
53,en,特殊能力：在你的回合開始時，你治療1點傷害。
54,en,勝利條件：你擁有5張或更多裝備卡。
55,en,特殊能力：如果你的攻擊造成2點或更多傷害，你可以選擇偷取目標的一張裝備卡而不是造成傷害。
56,en,喜歡暗影獵人嗎？通過捐款支持遊戲！任何金額都會被感激。
57,en,名稱和房間號碼不能超過10個字符
58,en,歡迎來到暗影獵人房間
59,en,這裡還沒有其他人！
60,en,喜歡暗影獵人嗎？加入我們的Discord或通過捐款支持遊戲！
61,en,玩家
62,en,開始遊戲
63,en,正在載入視覺元素...
64,en,軍火庫
65,en,團隊
66,en,揭示
67,en,特殊
68,en,發送
69,en,傷害
70,en,正在載入遊戲...
71,en,點擊物件來查看更多資訊！點擊 i 按鈕關閉此彈窗。
72,en,請輸入名稱和房間號碼
73,en,名稱和房間號碼不能包含特殊字符
74,en,名稱和房間號碼不能是純數字
75,en,名稱和房間號碼不能是 'undefined'
76,en,名稱「{}」已被系統保留。請選擇其他名稱
77,en,房間中已有人使用了你的名稱
78,en,已經開始遊戲，玩家包括
79,en,你已啟動特殊能力。它會在下次符合使用條件時生效。
80,en,{} 已加入房間！
81,en,{} 已以觀戰者身份加入房間！
82,en,{} 已重新加入房間！
83,en,你現在正在觀戰暗影獵人房間
84,en,你已重新加入暗影獵人房間的遊戲
85,en,房間中的其他玩家
86,en,{} 已離開房間
87,en,一個電腦玩家已經替代了他們！
88,en,你已失去與伺服器的連接 – 點擊「確定」返回首頁，如果你在遊戲中可以重新連接。
89,en,當房間內有 Y 人時，無法開始 X 人遊戲。
90,en,如果你離開此頁面，你將被移出遊戲。確定要離開嗎？
91,en,角色 X 生命值：Y
92,en,裝備
93,en,死亡
94,en,({}) 使用了特殊能力
95,en,{} 對 {} 使用了致命治療
96,en,{} 的閃電對 {} 造成了 4 點傷害！
97,en,你的特殊能力被 {} 廢除了
98,en,{} 廢除了 {} 在遊戲剩餘時間的特殊能力
99,en,鐵鎚
100,en,{} 的死亡光線對 {} 造成了 4 點傷害
101,en,{} 選擇不使用死亡光線。
102,en,{} 正在選擇目標...
103,en,抽取白卡
104,en,抽取黑卡
105,en,抽取隱士卡
106,en,治療 X 點傷害
107,en,造成 X 點傷害
108,en,詭異森林的力量治癒了 {}！
109,en,{} 的幸運胸針保護他們免受傷害！
110,en,詭異森林的力量傷害了 {}！
111,en,沒有玩家擁有物品可供 {} 偷取。
112,en,現在是 {} 的回合！
113,en,{} 的守護天使效果已消失！
114,en,{} 正在投骰子移動...
115,en,{} 的神祕羅盤讓他們可以重新投擲！
116,en,{} 正在選擇地點...
117,en,{} 移動到了 {}！
118,en,{} 選擇不執行地點行動。
119,en,將 {} 加入軍火庫
120,en,{} 將 {} 加入了他們的軍火庫！
121,en,一張隱士卡
122,en,投擲骰子！
123,en,{} 投出了 {}！
124,en,投擲傷害骰！
125,en,投擲六面骰！
126,en,投擲四面骰！
127,en,{} 正在選擇玩家...
128,en,{} 選擇了 {}！
129,en,{} 將裝備交給了 {}！
130,en,{} 的守護天使保護他們免受傷害！
131,en,{} 使用長矛朗基努斯發起攻擊！
132,en,從 {} 處獲取裝備
133,en,Bob 使用特殊能力偷取了 {} 的所有裝備！
134,en,{} 對 {} 造成了 5 點傷害！
135,en,狼人正在決定是否要反擊！
136,en,反擊
137,en,放棄
138,en,{} 正在反擊！
139,en,{} 使用詛咒之劍村正用四面骰投擲！
140,en,{} 選擇不反擊。
141,en,{} 將裝備交給了 {}！
142,en,攻擊其他玩家！
143,en,{} 正在決定是否攻擊...
144,en,{} 的手槍反轉了他們的攻擊範圍。
145,en,{} 正在攻擊 {}！
146,en,{} 的機關槍攻擊了攻擊範圍內的所有人！
147,en,{} 選擇偷取 {} 的裝備而不是造成 4 點傷害！
148,en,{} 選擇不攻擊。
149,en,神祕羅盤
150,en,當你移動時，你可以投擲兩次骰子並選擇使用哪個結果。
151,en,護身符
152,en,你不會受到黑卡「嗜血蜘蛛」、「吸血蝙蝠」或「炸藥」的傷害。
153,en,幸運胸針
154,en,你不會受到地點卡「詭異森林」的傷害。你仍然可以被它治療。
155,en,銀製十字架
156,en,如果你殺死另一個角色，你獲得他們所有的裝備卡。
157,en,長矛朗基努斯
158,en,如果你是一個已揭示身份的獵人且你的攻擊成功，你造成額外2點傷害。
159,en,降臨
160,en,如果你是獵人，你可以揭示你的身份。如果你這樣做，或如果你已經揭示身份，你完全治癒傷害。
161,en,破魔鏡
162,en,如果你是暗影（除了 Unknown），你必須揭示你的身份。
163,en,祝福
164,en,選擇一個除你以外的角色並投擲六面骰。該角色治療等同於骰子點數的傷害。
165,en,巧克力
166,en,如果你是 Allie、Agnes、Emi、Ellen、Unknown 或 Ultra Soul，你可以揭示你的身份。如果你這樣做，或如果你已經揭示身份，你完全治癒傷害。
167,en,隱秘知識
168,en,當這個回合結束後，將輪到你的回合。
169,en,守護天使
170,en,直到你的下個回合開始前，你不會受到其他角色的直接攻擊傷害。
171,en,聖袍
172,en,你的攻擊傷害減少1點，你受到的攻擊傷害也減少1點。
173,en,審判之光
174,en,除你以外的所有角色受到2點傷害。
175,en,急救
176,en,將一個角色的傷害標記設為7（你可以選擇自己）。
177,en,治療聖水
178,en,治療你2點傷害。
179,en,詛咒之劍村正
180,en,你必須在你的回合攻擊另一個角色。這次攻擊使用四面骰。
181,en,機關槍
182,en,你的攻擊會影響你攻擊範圍內的所有角色（骰子只投擲一次）。
183,en,手槍
184,en,所有範圍都變成你的攻擊範圍。
185,en,屠夫刀
186,en,電鋸
187,en,生鏽的大斧
188,en,如果你的攻擊成功，你造成額外1點傷害。
189,en,善變的小妖精
190,en,你偷取任意角色的一張裝備卡。
191,en,嗜血蜘蛛
192,en,你對任意角色造成2點傷害，同時自己也受到2點傷害。
193,en,吸血蝙蝠
194,en,你對任意角色造成2點傷害，並治療自己1點傷害。
195,en,惡魔儀式
196,en,如果你是暗影，你可以揭示你的身份。如果你這樣做，你完全治癒傷害。
197,en,香蕉皮
198,en,將你的一張裝備卡給予另一個角色。如果你沒有裝備卡，你受到1點傷害。
199,en,炸藥
200,en,投擲2個骰子並對骰子總和指定區域的所有角色造成3點傷害（如果投出7則無事發生）。
201,en,靈魂娃娃
202,en,選擇一個角色並擲一個六面骰子。如果骰子點數是 1 到 4，你對該角色造成 3 點傷害。如果骰子點數是 5 或 6，你受到 3 點傷害。
203,en,隱士小屋
204,en,冥界之門
205,en,從你選擇的牌堆中抽一張牌。
206,en,教堂
207,en,墓地
208,en,詭異森林
209,en,治療 1 點傷害或對任何玩家造成 2 點傷害。
210,en,古老祭壇
211,en,從任何玩家那裡偷取一張裝備卡。
212,en,勒索
213,en,貪婪
214,en,憤怒
215,en,掌摑
216,en,咒語
217,en,驅魔
218,en,培育
219,en,援助
220,en,蜷縮
221,en,教訓
222,en,欺凌
223,en,預言
224,en,我猜你是{}
